Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
A,D,C,C,C,B,A,C,B,C
B,E,D,B,C,D,D,D,B,A
B,E,D,D,C,B,C,C,C,B
D,D,A,B,B,B,A,D,D,B
B,E,B,A,C,A,D,D,A,B
D,D,A,D,C,A,A,C,A,D
A,D,E,B,D,D,B,B,D,D
A,D,D,D,C,A,D,D,D,D
B,A,D,C,A,C,C,D,A,C
B,E,C,B,B,D,C,D,C,C
A,D,A,A,B,D,A,A,A,A
B,E,A,A,C,B,A,D,D,B
D,B,B,C,B,B,C,B,A,A
C,E,B,D,D,C,D,C,B,B
B,E,E,D,C,A,A,B,A,D
D,D,E,B,B,B,C,C,D,B
D,C,D,D,B,C,B,B,A,C
B,D,A,D,C,D,B,D,A,D
C,D,A,B,B,D,A,A,B,D
C,B,E,A,A,A,A,B,A,D
D,E,B,C,D,D,B,B,C,B
C,B,C,C,D,C,A,D,C,A
B,D,B,B,A,B,A,D,B,A
C,B,B,D,C,A,B,A,C,C
D,B,C,D,A,D,D,D,D,A
B,C,C,C,D,C,C,C,B,D
B,E,E,B,B,B,D,B,D,D
B,A,D,B,B,C,D,D,C,A
A,C,E,A,B,D,C,A,D,B
B,B,C,A,D,D,D,D,B,D
C,B,C,B,A,B,C,B,C,B
A,E,C,D,D,B,D,D,C,D
D,C,C,B,B,C,C,B,C,C
C,A,C,D,A,A,B,D,B,D
C,E,E,C,D,B,A,C,C,B
B,C,D,D,B,B,A,A,A,D
D,A,A,C,B,A,A,C,B,D
A,C,A,C,A,A,B,B,D,B
C,E,B,B,A,B,B,B,C,A
D,A,D,A,B,D,D,B,B,A
C,C,B,A,C,A,B,B,D,C
A,C,A,A,A,D,D,C,B,D
C,C,C,D,C,C,B,C,B,A
A,E,B,D,B,D,A,B,A,D
D,C,A,A,A,B,B,A,D,B
A,D,D,C,D,C,D,A,B,B
C,B,C,A,A,B,D,C,C,B
B,D,C,D,D,A,B,A,D,D
D,E,E,C,A,D,D,D,C,C
B,C,A,A,C,B,D,D,B,A
A,B,B,C,B,C,D,B,B,D
B,C,E,C,A,A,A,B,B,B
C,E,E,D,B,C,A,B,A,C
A,A,A,B,C,C,A,B,A,B
C,C,C,A,B,A,C,C,C,B
A,B,C,C,B,C,B,C,B,B
C,A,E,B,A,A,B,D,A,C
C,A,C,A,D,C,C,A,D,B
D,B,D,A,D,C,D,D,A,A
C,E,B,C,C,A,B,C,D,D
B,A,B,C,D,A,D,D,D,C
B,C,B,B,C,A,D,B,D,A
B,A,D,B,B,C,B,C,D,B
D,E,D,C,C,B,C,B,B,C
D,C,C,C,A,A,D,B,B,B
D,A,D,C,C,A,B,C,D,C
B,E,A,A,A,C,B,C,B,C
A,D,A,A,A,D,D,B,C,C
D,C,D,A,C,D,C,B,D,A
D,D,D,D,D,D,C,D,A,A
D,E,D,B,D,B,D,C,D,B
C,C,B,B,D,B,B,D,C,C
B,E,B,A,C,D,C,C,B,B
D,D,E,D,C,A,A,B,B,C
A,E,E,B,C,C,A,A,A,B
B,B,A,D,B,C,B,A,D,D
C,E,C,D,D,A,B,B,B,B
B,D,B,A,B,A,B,D,C,D
C,B,C,D,C,D,D,C,D,D
C,B,D,B,A,C,D,D,D,B
B,E,D,A,B,C,D,D,C,B
B,C,C,A,A,B,B,D,A,C
C,E,A,D,C,A,A,D,D,A
C,D,B,A,A,D,B,A,B,A
B,B,A,D,C,B,C,D,D,C
B,B,C,B,A,A,B,A,D,D
B,A,A,D,B,C,B,C,D,B
D,A,B,A,D,C,D,D,C,C
B,E,D,C,A,B,A,C,B,C
C,C,E,B,D,A,A,B,A,D
A,A,B,B,A,A,A,A,A,C
A,B,B,D,B,D,B,C,B,C
D,E,D,A,A,D,A,B,D,D
A,D,A,A,D,C,C,C,B,C
B,C,E,D,A,C,B,B,B,D
A,D,A,D,A,B,A,C,D,C
A,A,C,C,B,D,A,C,B,D
B,A,B,C,D,A,C,C,A,B
C,A,A,A,B,B,C,A,B,B
C,D,B,C,A,C,D,B,D,A
D,E,E,C,B,A,C,C,A,A
D,C,E,C,C,D,D,B,B,D
A,A,E,D,A,B,C,C,B,A
B,B,A,C,B,D,A,C,C,A
A,A,D,B,C,A,B,D,A,C
A,D,A,D,B,D,D,B,D,C
A,B,D,C,C,B,D,D,C,D
A,E,A,B,A,B,A,D,A,B
C,E,C,D,B,C,C,B,A,B
C,C,B,A,C,B,B,B,D,B
D,A,C,D,C,A,C,D,A,D
A,E,A,D,B,B,D,B,D,A
D,E,A,A,D,B,C,C,B,D
A,A,D,B,A,C,A,C,A,B
D,A,C,C,D,A,A,D,D,C
A,E,C,B,C,C,C,B,D,A
B,C,D,A,D,D,C,C,A,C
C,E,A,B,D,A,B,D,C,D
B,E,D,D,D,B,C,B,B,D
B,E,A,D,A,D,C,C,A,B
A,D,D,C,D,C,D,D,C,D
A,C,A,D,D,C,C,C,C,A
D,C,E,C,D,B,C,C,A,A
C,D,D,A,B,A,D,B,C,D
D,C,C,B,A,B,D,B,D,D
D,D,D,A,C,A,A,C,D,A
D,A,A,C,D,D,D,D,D,D
D,D,D,B,A,A,B,A,C,A
C,A,E,A,C,D,B,B,B,D
C,B,D,A,D,B,A,A,D,B
A,C,C,D,D,D,B,A,C,B
B,D,B,A,B,A,C,C,C,A
D,D,E,D,B,A,D,D,B,A
A,D,D,C,D,B,C,B,D,D
C,B,C,A,C,C,D,C,A,C
C,E,E,B,D,B,B,C,D,C
B,B,E,A,D,A,D,D,D,D
C,A,C,A,B,B,B,D,C,C
B,C,A,A,C,C,B,B,D,B
C,A,A,C,C,B,A,D,C,D
B,A,C,A,C,A,C,C,D,A
A,A,D,B,D,C,D,C,B,C
B,B,C,B,A,B,A,B,D,C
D,A,D,A,D,C,C,B,C,D
C,C,B,A,D,C,D,C,D,A
C,C,E,B,B,D,A,A,C,B
D,A,E,C,D,D,B,C,C,B
B,C,A,D,A,C,A,B,A,A
B,A,D,B,C,D,A,B,B,B
B,B,E,C,C,A,A,B,A,D
C,C,C,B,C,B,B,B,C,D
B,E,E,B,A,B,D,C,C,C
A,A,B,B,A,B,B,A,C,C
A,B,D,C,C,D,C,B,A,A
D,D,A,B,B,C,C,B,C,A
B,D,E,A,B,D,A,A,A,A
D,C,E,A,A,A,D,B,A,C
B,B,B,B,C,C,A,C,C,A
B,B,A,A,C,C,D,C,C,D
B,E,A,B,A,D,D,A,B,A
C,C,B,A,B,C,C,B,A,D
C,B,E,D,A,B,A,A,A,B
D,C,A,B,A,D,C,C,C,C
A,A,D,A,D,B,B,A,C,C
B,D,B,C,D,A,C,D,A,A
B,E,C,D,C,D,B,C,D,C
C,B,A,C,A,A,C,B,A,C
D,A,B,A,C,B,B,C,C,A
D,C,C,A,D,D,B,D,B,D
B,A,D,D,B,A,C,B,A,A
B,D,C,D,D,A,C,B,D,C
A,D,D,D,A,D,B,C,D,C
D,A,E,B,B,A,B,B,B,A
A,B,C,D,A,B,C,C,B,A
C,B,B,A,A,D,A,B,B,A
D,C,D,C,A,C,B,B,D,A
A,D,C,D,A,C,B,C,D,D
B,C,A,B,B,D,A,B,B,C
D,A,E,A,C,A,D,B,C,B
C,D,A,D,B,D,C,C,A,D
D,D,C,A,A,A,A,C,A,C
A,B,C,B,A,B,A,C,B,D
C,B,C,A,B,C,B,A,D,B
C,B,C,D,C,A,A,A,B,B
D,E,A,C,C,D,B,A,D,C
A,A,E,C,C,C,A,C,C,A
A,B,C,D,D,C,C,D,C,A
A,D,B,B,D,A,A,A,C,A
A,A,B,D,A,D,B,D,B,D
A,B,E,A,B,C,B,D,C,A
D,D,B,D,A,B,C,D,C,C
C,B,D,C,D,C,B,B,A,A
B,A,E,B,A,C,D,B,B,B
B,A,C,C,A,C,D,C,D,A
A,A,C,A,B,D,C,A,C,D
C,E,E,A,D,A,D,C,A,A
A,E,B,C,A,D,A,C,B,A
B,A,D,B,C,D,C,C,B,C
C,E,A,D,C,A,A,A,D,D
C,B,A,B,B,C,C,B,D,A
D,C,B,A,C,B,A,C,D,D
D,A,C,C,B,B,B,C,D,A
D,C,B,D,A,A,D,D,B,D
C,B,B,B,A,A,D,A,D,C
C,E,D,D,A,D,A,B,B,C
B,E,E,B,B,C,C,D,A,B
A,D,A,A,A,C,C,A,C,D
D,A,B,B,A,C,B,D,D,A
A,B,A,A,B,C,D,A,C,D
B,A,E,A,D,A,D,B,C,A
D,C,D,A,C,B,A,B,C,B
A,C,B,B,C,A,C,C,B,A
A,C,E,A,B,C,B,A,C,D
D,B,D,D,D,A,C,A,D,C
D,A,E,C,A,A,C,A,C,C
C,C,C,C,A,A,B,C,D,B
B,C,D,A,A,D,C,C,A,A

