Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
B,D,B,D,A,C,D,C,B,C
B,C,B,B,C,D,A,C,D,D
D,C,A,C,C,A,B,B,C,C
A,B,A,A,C,D,C,D,A,D
D,D,A,A,C,B,A,C,C,A
C,C,D,D,D,A,A,A,C,C
C,D,B,A,D,A,D,C,D,B
C,B,C,A,B,D,A,A,B,B
B,C,A,D,B,C,A,D,A,A
A,B,A,D,C,C,B,A,D,C
C,C,A,C,A,D,D,D,D,D
E,A,D,B,A,D,B,C,C,C
F,C,A,D,B,A,A,A,B,A
B,B,D,B,C,C,C,A,D,D
C,A,A,A,D,B,D,A,A,A
D,C,C,D,C,D,D,D,D,B
A,A,C,A,A,A,C,A,A,A
C,B,D,B,B,C,D,B,D,A
D,B,B,C,B,B,D,D,D,D
C,B,D,A,A,D,D,D,A,C
C,B,A,A,A,D,D,A,A,C
F,C,B,D,C,A,A,C,A,B
E,A,C,C,A,A,C,D,C,A
G,D,A,D,B,C,A,A,C,D
B,B,C,A,C,C,C,D,B,D
A,D,C,D,C,B,B,C,B,B
A,C,C,D,D,C,A,C,A,A
G,D,B,D,C,B,A,D,D,A
F,B,D,B,B,A,D,B,B,C
C,A,C,C,B,D,D,A,A,A
F,D,B,C,A,B,B,B,A,B
G,B,B,C,A,B,A,C,B,C
D,C,B,A,B,B,B,D,B,A
F,A,C,C,B,D,A,A,D,B
D,B,B,A,A,D,C,D,B,D
G,D,B,B,A,A,A,A,C,A
A,C,D,B,B,B,D,B,C,C
D,D,D,A,B,C,A,C,C,A
C,C,B,A,D,D,C,C,D,B
F,D,C,B,A,B,A,B,C,A
D,A,D,B,C,C,B,D,A,C
C,D,B,A,D,A,B,B,D,B
G,D,A,A,B,B,D,B,A,A
D,C,A,A,A,B,C,A,B,C
A,A,C,A,C,A,B,A,A,C
B,D,A,B,A,C,C,B,C,A
C,C,A,A,B,D,C,C,D,B
A,A,B,C,B,A,B,D,B,A
A,B,B,B,B,C,B,A,C,B
E,C,A,C,A,B,A,C,C,A
F,C,D,C,A,C,C,B,C,B
G,A,A,D,C,A,C,A,C,D
E,C,C,B,B,C,A,C,D,B
C,B,A,D,A,D,C,D,A,D
D,C,A,B,C,B,A,B,C,D
D,D,C,A,A,B,D,D,D,C
E,C,A,D,C,C,B,A,C,B
D,C,B,B,A,D,C,B,C,B
D,B,A,A,A,A,B,D,C,B
G,A,D,A,B,D,A,C,B,C
B,A,D,B,C,B,D,D,B,A
F,B,A,A,C,D,C,C,B,A
F,C,D,C,B,B,A,B,A,A
B,D,D,C,C,A,A,B,A,A
D,C,C,A,D,C,A,C,C,A
D,B,D,D,B,A,A,B,A,A
D,A,A,D,D,A,C,A,B,A
A,B,C,C,A,A,D,C,D,D
C,A,D,D,C,A,B,C,B,C
B,C,C,A,C,C,C,C,A,B
C,A,A,D,D,A,A,A,B,D
C,B,D,A,B,C,C,B,B,D
G,C,A,B,A,B,C,A,B,A
G,B,A,A,B,D,A,C,C,D
E,D,B,C,B,C,A,B,A,C
F,B,C,B,A,C,D,D,A,A
D,A,B,B,D,A,D,C,A,C
D,A,D,B,B,C,D,A,D,D
G,B,D,D,B,D,A,B,D,C
B,D,B,D,C,A,A,C,B,B
A,A,D,A,C,A,A,C,C,B
G,C,D,C,D,B,B,A,A,A
E,C,D,A,C,C,D,C,D,A
A,B,B,B,C,A,A,C,B,C
F,D,B,D,A,C,A,C,D,C
G,D,D,A,D,D,A,A,A,B
F,B,B,C,C,B,B,B,C,C
A,A,A,D,D,C,B,A,B,D
B,D,D,B,D,A,C,B,A,B
D,A,B,D,A,A,D,A,D,D
B,A,A,B,A,C,B,B,D,B
G,D,D,B,B,D,C,A,C,D
E,B,A,D,A,D,A,B,C,C
F,C,D,C,D,C,D,C,B,A
C,D,A,D,A,C,C,A,A,D
F,A,B,D,A,B,B,D,C,B
B,D,A,C,B,C,D,D,C,C
B,D,D,D,C,C,C,B,A,B
E,D,C,D,D,C,D,B,C,D
B,A,C,D,D,C,D,A,C,B
F,B,C,D,C,C,C,B,A,C
F,D,C,C,A,C,B,B,D,D
G,A,B,A,B,B,A,A,A,A
G,D,D,B,C,D,D,B,A,B
C,D,B,A,D,A,C,B,C,B
E,A,B,B,C,C,A,D,D,B
A,D,A,B,A,C,D,B,B,B
E,B,D,D,B,C,B,A,A,A
B,A,B,C,A,A,D,A,B,B
E,C,C,A,A,D,C,B,C,B
C,B,D,A,D,A,D,D,C,A
D,D,A,A,A,A,B,D,A,D
C,A,A,B,A,A,A,B,D,A
C,A,C,A,C,D,A,B,D,D
D,C,B,D,A,D,C,B,D,D
E,A,D,A,A,C,A,D,A,D
C,C,C,D,C,D,B,B,A,C
G,C,D,B,D,C,A,B,B,A
A,B,D,B,A,C,A,A,B,B
A,B,B,D,B,D,C,B,D,C
D,B,C,A,B,D,C,C,B,A
G,A,A,B,B,C,C,D,B,D
B,B,C,C,C,A,B,D,D,A
A,B,D,C,A,C,D,C,A,B
E,C,C,D,A,C,C,D,B,B
F,C,A,A,A,C,B,A,C,C
C,B,B,A,C,B,C,C,D,B
C,D,B,D,C,A,A,A,B,C
G,D,B,B,C,B,B,A,D,A
F,C,C,A,B,B,C,A,D,C
F,A,B,D,C,A,D,D,A,C
E,D,D,D,B,B,C,D,C,D
F,D,C,B,D,C,A,C,A,C
E,A,B,B,C,B,D,A,B,B
A,C,D,B,D,A,C,C,B,D
G,A,D,D,A,C,C,B,A,D
B,B,D,A,D,C,C,C,C,B
F,D,A,B,D,D,B,D,B,D

